"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1D_T2M_X",1757,1920-12-08,1.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-09,-1.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-10,-2.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-11,-1.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-12,-1.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-13,-3.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-14,-1.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-15,-2.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-16,-1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-17,0.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-18,1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-19,1.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-20,0.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-21,1.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-22,1.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-23,2.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-24,0.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-25,6.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-26,7.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-27,3.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-28,3.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-29,6.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-30,10.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-31,8.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1921-01-01,8.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1921-01-02,8.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1921-01-03,9.2,0,1
